S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
1,BISHNU PADA RAY,Bharatiya Janata Party,102182,254,102436,50.58,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1,U011
2,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Andhra Pradesh,Amalapuram (SC) - 7,S017
3,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,Andhra Pradesh,Anakapalle - 5,S015
4,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,Andhra Pradesh,Ananthapur - 19,S0119
5,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,Andhra Pradesh,Araku (ST) - 1,S011
6,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,Andhra Pradesh,Bapatla (SC) - 15,S0115
7,DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84,Andhra Pradesh,Chittoor(SC) - 25,S0125
8,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54,Andhra Pradesh,Eluru - 10,S0110
9,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,Andhra Pradesh,Guntur - 13,S0113
10,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,Andhra Pradesh,Hindupur - 20,S0120
11,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78,Andhra Pradesh,Kadapa - 21,S0121
12,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87,Andhra Pradesh,Kakinada - 6,S016
13,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,Andhra Pradesh,Kurnoolu - 18,S0118
14,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,Andhra Pradesh,Machilipatnam - 11,S0111
15,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92,Andhra Pradesh,Nandyal - 17,S0117
16,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46,Andhra Pradesh,Narsapuram - 9,S019
17,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88,Andhra Pradesh,Narsaraopet - 14,S0114
18,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7,Andhra Pradesh,Nellore - 22,S0122
19,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35,Andhra Pradesh,Ongole - 16,S0116
20,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,718641,7874,726515,54.82,Andhra Pradesh,Rajahmundry - 8,S018
21,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111,5733,644844,48.38,Andhra Pradesh,Rajampet - 24,S0124
22,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05,Andhra Pradesh,Srikakulam - 2,S012
23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702,5526,632228,45.73,Andhra Pradesh,Thirupathi(SC) - 23,S0123
24,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21,Andhra Pradesh,Vijayawada - 12,S0112
25,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42,Andhra Pradesh,Visakhapatnam - 4,S014
26,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2,Andhra Pradesh,Vizianagaram - 3,S013
27,G M HARISH (BALAYOGI),Telugu Desam,786149,10832,796981,61.25,Andhra Pradesh,Amalapuram (SC) - 7,S017
28,C.M.RAMESH,Bharatiya Janata Party,750027,12042,762069,57.5,Andhra Pradesh,Anakapalle - 5,S015
29,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,Andhra Pradesh,Ananthapur - 19,S0119
30,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,Andhra Pradesh,Araku (ST) - 1,S011
31,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,Andhra Pradesh,Bapatla (SC) - 15,S0115
32,DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84,Andhra Pradesh,Chittoor(SC) - 25,S0125
33,PUTTA MAHESH KUMAR,Telugu Desam,737644,8707,746351,54,Andhra Pradesh,Eluru - 10,S0110
34,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,Andhra Pradesh,Guntur - 13,S0113
35,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,Andhra Pradesh,Hindupur - 20,S0120
36,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78,Andhra Pradesh,Kadapa - 21,S0121
37,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87,Andhra Pradesh,Kakinada - 6,S016
38,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,Andhra Pradesh,Kurnoolu - 18,S0118
39,BALASHOWRY VALLABHANENI,Janasena Party,712149,12290,724439,55.22,Andhra Pradesh,Machilipatnam - 11,S0111
40,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92,Andhra Pradesh,Nandyal - 17,S0117
41,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46,Andhra Pradesh,Narsapuram - 9,S019
42,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88,Andhra Pradesh,Narsaraopet - 14,S0114
43,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7,Andhra Pradesh,Nellore - 22,S0122
44,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35,Andhra Pradesh,Ongole - 16,S0116
